Subject,Table Name,Reference Column,Reference Domain,Preserved By Design,Counted In Archive Audit,Code Evidence,Risk,Required Fix,Error
tasks|staffId|staff,tasks,staffId,staff,true,true,server/hrStaffArchive.ts:164-167/archiveStaff; 软归档仅更新staff表的archivedAt字段，不删除或修改tasks表的数据。,none,none,
task_staff|staffId|staff,task_staff,staffId,staff,true,true,"server/hrStaffArchive.ts:102/getReferenceCounts；\""taskStaff\"", \""task_staff\"", \""staffId\"", staffId 被包含在definitions中，并在归档函数archiveResignedStaff中只更新staff表的archivedAt字段，没有删除或修改task_staff表的记录",none，因为仅通过设置 archivedAt 实现软归档，历史关联数据完全保留,none,
report_staff|linkedStaffId|staff,report_staff,linkedStaffId,staff,true,true,server/hrStaffArchive.ts:164-167/archiveResignedStaff；只更新了staff表的archivedAt字段，没有删除或修改report_staff表的数据,none,none,
reports|reportStaffId|report_staff,reports,reportStaffId,report_staff,true,true,hrStaffArchive.ts:104/getReferenceCounts；归档时仅对staff表做UPDATE设置archivedAt，未对reports表执行任何DELETE或UPDATE操作，并在getReferenceCounts中正确计数。,none，归档仅为软删除(UPDATE staff SET archivedAt=...)，不影响reports表的历史记录，外键关联完整保留。,none,
report_followups|reportStaffId|report_staff,report_followups,reportStaffId,report_staff,true,true,"server/hrStaffArchive.ts:105/getReferenceCounts；在definitions中定义了[\""reportFollowups\"", \""report_followups\"", \""reportStaffId\"", reportStaffId]",none，通过软归档仅更新staff表的archivedAt字段，保持历史数据和外键完整性。,none,
brand_lcj_staff|reportStaffId|report_staff,brand_lcj_staff,reportStaffId,report_staff,true,true,"server/hrStaffArchive.ts:106/getReferenceCounts；在definitions中定义了[\""brandLcjStaff\"", \""brand_lcj_staff\"", \""reportStaffId\"", reportStaffId]",none，软归档仅更新staff表的archivedAt，brand_lcj_staff表行不变，且在审计中被计数。,none,
chat_report_sessions|staffId|report_staff,chat_report_sessions,staffId,report_staff,true,true,server/hrStaffArchive.ts:107/getReferenceCounts；chatReportSessions通过staffId指向reportStaffId被计入审计，但表名是chat_report_sessions，且schema中staffId确实指向reportStaff.id。软归档仅更新staff表的archivedAt字段，未物理删除或修改chat_report_sessions。,none，由于软归档仅在staff表上更新archivedAt字段，不涉及物理删除和断链，关联数据天然保持不变。,none,
staff_ai_profiles|staffId|report_staff,staff_ai_profiles,staffId,report_staff,true,true,"server/hrStaffArchive.ts:108/getReferenceCounts；\""staffAiProfiles\"" 引用 \""staffId\"" 到 reportStaffId，软归档仅UPDATE staff表，无物理删除。",none,none,
line_users|staffId|staff,line_users,staffId,staff,true,true,"server/hrStaffArchive.ts:109/getReferenceCounts；明确包含['lineUsers', 'line_users', 'staffId', staffId]计数，归档操作仅更新staff表archivedAt等列（164行），不修改line_users",none，因为归档逻辑设计为不修改关联数据，且代码正确计数了关联项,none,
recruitment_follow_records|staff_id|staff,recruitment_follow_records,staff_id,staff,true,true,hrStaffArchive.ts:110/getReferenceCounts；明确计入recruitment_follow_records表的staff_id，archiveResignedStaff仅更新staff表的archivedAt字段，不修改该表。,none，无外键级联删除或错误修改，且审计计数完整。,none,
staff_schedules|staffId|staff,staff_schedules,staffId,staff,true,true,"server/hrStaffArchive.ts:111/getReferenceCounts；\""staffSchedules\"" 计入了引用统计，且 archiveResignedStaff 中仅 UPDATE staff 表的 archivedAt，不涉及其他表数据的删除或修改。",none，仅修改staff表archivedAt字段进行软归档，关联表数据不受影响,none,
